state,county,NAME,median_income,population,year
48,009,"Archer County, Texas",53113.0,9013,2011
48,043,"Brewster County, Texas",39615.0,9088,2011
48,215,"Hidalgo County, Texas",32479.0,757453,2011
48,423,"Smith County, Texas",46615.0,206839,2011
48,105,"Crockett County, Texas",51522.0,3744,2011
48,207,"Haskell County, Texas",39578.0,5877,2011
48,227,"Howard County, Texas",41887.0,34645,2011
48,333,"Mills County, Texas",38138.0,4884,2011
48,337,"Montague County, Texas",43509.0,19773,2011
48,365,"Panola County, Texas",48088.0,23690,2011
48,403,"Sabine County, Texas",33109.0,10686,2011
48,421,"Sherman County, Texas",49135.0,3019,2011
48,437,"Swisher County, Texas",38988.0,7808,2011
48,231,"Hunt County, Texas",45253.0,85390,2011
48,063,"Camp County, Texas",36998.0,12353,2011
48,195,"Hansford County, Texas",52610.0,5524,2011
48,187,"Guadalupe County, Texas",61608.0,127499,2011
48,077,"Clay County, Texas",52868.0,10839,2011
48,205,"Hartley County, Texas",69414.0,5974,2011
48,217,"Hill County, Texas",39944.0,35033,2011
48,293,"Limestone County, Texas",42851.0,23282,2011
48,347,"Nacogdoches County, Texas",35378.0,63872,2011
30,073,"Pondera County, Montana",38852.0,6165,2011
30,111,"Yellowstone County, Montana",50185.0,146151,2011
30,063,"Missoula County, Montana",43895.0,108431,2011
30,081,"Ravalli County, Montana",43512.0,40199,2011
30,105,"Valley County, Montana",44641.0,7392,2011
30,013,"Cascade County, Montana",44074.0,80931,2011
30,027,"Fergus County, Montana",37601.0,11516,2011
30,033,"Garfield County, Montana",37500.0,1162,2011
30,061,"Mineral County, Montana",36261.0,4193,2011
30,069,"Petroleum County, Montana",38162.0,568,2011
30,077,"Powell County, Montana",41347.0,7068,2011
30,089,"Sanders County, Montana",30368.0,11421,2011
30,109,"Wibaux County, Montana",43417.0,964,2011
30,031,"Gallatin County, Montana",51391.0,89146,2011
30,059,"Meagher County, Montana",33846.0,1900,2011
30,009,"Carbon County, Montana",46194.0,10016,2011
30,001,"Beaverhead County, Montana",41226.0,9170,2011
30,029,"Flathead County, Montana",45588.0,90317,2011
30,065,"Musselshell County, Montana",38669.0,4426,2011
31,083,"Harlan County, Nebraska",45396.0,3439,2011
31,185,"York County, Nebraska",48655.0,13804,2011
31,019,"Buffalo County, Nebraska",49851.0,45842,2011
31,037,"Colfax County, Nebraska",46685.0,10322,2011
31,087,"Hitchcock County, Nebraska",36920.0,2910,2011
31,141,"Platte County, Nebraska",51273.0,31963,2011
31,143,"Polk County, Nebraska",50298.0,5393,2011
31,013,"Box Butte County, Nebraska",44118.0,11383,2011
31,017,"Brown County, Nebraska",29856.0,3153,2011
31,161,"Sheridan County, Nebraska",34588.0,5488,2011
31,109,"Lancaster County, Nebraska",51059.0,282931,2011
31,129,"Nuckolls County, Nebraska",32444.0,4538,2011
31,007,"Banner County, Nebraska",27167.0,703,2011
31,063,"Frontier County, Nebraska",47552.0,2779,2011
31,055,"Douglas County, Nebraska",52929.0,511739,2011
31,147,"Richardson County, Nebraska",39512.0,8396,2011
31,089,"Holt County, Nebraska",46292.0,10437,2011
31,065,"Furnas County, Nebraska",38650.0,4927,2011
31,151,"Saline County, Nebraska",45347.0,14170,2011
31,173,"Thurston County, Nebraska",39568.0,6920,2011
31,177,"Washington County, Nebraska",64737.0,20199,2011
31,031,"Cherry County, Nebraska",41929.0,5750,2011
31,053,"Dodge County, Nebraska",44744.0,36651,2011
31,069,"Garden County, Nebraska",35861.0,2013,2011
31,123,"Morrill County, Nebraska",42075.0,5052,2011
31,127,"Nemaha County, Nebraska",41424.0,7243,2011
31,171,"Thomas County, Nebraska",51375.0,737,2011
31,043,"Dakota County, Nebraska",43294.0,20802,2011
31,003,"Antelope County, Nebraska",40474.0,6697,2011
31,029,"Chase County, Nebraska",40465.0,3937,2011
31,035,"Clay County, Nebraska",45590.0,6530,2011
31,041,"Custer County, Nebraska",43657.0,10962,2011
31,061,"Franklin County, Nebraska",40556.0,3201,2011
31,081,"Hamilton County, Nebraska",54980.0,9135,2011
31,095,"Jefferson County, Nebraska",42979.0,7619,2011
31,101,"Keith County, Nebraska",42705.0,8342,2011
31,115,"Loup County, Nebraska",36250.0,669,2011
31,135,"Perkins County, Nebraska",52266.0,2966,2011
31,155,"Saunders County, Nebraska",58348.0,20635,2011
31,157,"Scotts Bluff County, Nebraska",40939.0,36729,2011
48,369,"Parmer County, Texas",40926.0,10157,2011
48,367,"Parker County, Texas",63725.0,114764,2011
48,377,"Presidio County, Texas",28724.0,7727,2011
48,465,"Val Verde County, Texas",38747.0,48434,2011
48,109,"Culberson County, Texas",37500.0,2438,2011
48,135,"Ector County, Texas",50056.0,135545,2011
48,169,"Garza County, Texas",42883.0,6319,2011
48,173,"Glasscock County, Texas",72188.0,1179,2011
48,185,"Grimes County, Texas",40509.0,26455,2011
48,085,"Collin County, Texas",82758.0,764424,2011
48,005,"Angelina County, Texas",39325.0,86033,2011
48,101,"Cottle County, Texas",39038.0,1693,2011
48,209,"Hays County, Texas",58247.0,152827,2011
48,039,"Brazoria County, Texas",67018.0,307695,2011
48,129,"Donley County, Texas",44300.0,3624,2011
48,013,"Atascosa County, Texas",43261.0,44553,2011
48,353,"Nolan County, Texas",37177.0,15098,2011
48,229,"Hudspeth County, Texas",22634.0,3433,2011
48,475,"Ward County, Texas",41939.0,10586,2011
48,203,"Harrison County, Texas",45357.0,64999,2011
48,327,"Menard County, Texas",41923.0,2226,2011
48,149,"Fayette County, Texas",47285.0,24397,2011
48,491,"Williamson County, Texas",71346.0,409913,2011
48,233,"Hutchinson County, Texas",44120.0,22088,2011
48,343,"Morris County, Texas",39698.0,13017,2011
48,361,"Orange County, Texas",48833.0,82184,2011
48,495,"Winkler County, Texas",44573.0,7039,2011
48,201,"Harris County, Texas",52675.0,4025409,2011
48,053,"Burnet County, Texas",48291.0,42606,2011
48,171,"Gillespie County, Texas",54843.0,24524,2011
48,113,"Dallas County, Texas",48942.0,2348702,2011
48,311,"McMullen County, Texas",29500.0,728,2011
48,503,"Young County, Texas",39898.0,18351,2011
48,251,"Johnson County, Texas",55970.0,149681,2011
48,223,"Hopkins County, Texas",42844.0,34869,2011
48,357,"Ochiltree County, Texas",49794.0,10147,2011
48,275,"Knox County, Texas",32646.0,3703,2011
48,309,"McLennan County, Texas",41656.0,232396,2011
48,095,"Concho County, Texas",46528.0,4074,2011
48,137,"Edwards County, Texas",43095.0,2023,2011
48,133,"Eastland County, Texas",34531.0,18577,2011
48,243,"Jeff Davis County, Texas",49149.0,2328,2011
48,247,"Jim Hogg County, Texas",36752.0,5231,2011
48,339,"Montgomery County, Texas",66657.0,443622,2011
48,127,"Dimmit County, Texas",26730.0,9937,2011
48,479,"Webb County, Texas",37868.0,245762,2011
48,011,"Armstrong County, Texas",56538.0,1929,2011
48,069,"Castro County, Texas",36893.0,7919,2011
48,273,"Kleberg County, Texas",37222.0,31823,2011
48,097,"Cooke County, Texas",50176.0,38344,2011
48,107,"Crosby County, Texas",35655.0,6133,2011
48,151,"Fisher County, Texas",43724.0,4067,2011
48,131,"Duval County, Texas",35144.0,11873,2011
48,031,"Blanco County, Texas",46457.0,10267,2011
53,011,"Clark County, Washington",59051.0,421154,2011
53,003,"Asotin County, Washington",41993.0,21526,2011
53,001,"Adams County, Washington",41219.0,18289,2011
53,023,"Garfield County, Washington",47379.0,2244,2011
53,045,"Mason County, Washington",48912.0,60116,2011
53,057,"Skagit County, Washington",55555.0,116327,2011
